cycle,range_bin,doppler_bin,output_hex
1133455000,24,2,ff4fff62
1133465000,24,3,00f90182
1133475000,24,4,fe76feaf
1133485000,24,5,03d2ff7d
1133495000,24,6,fa800031
1133505000,24,7,0359ffcb
1133515000,24,8,017f00a0
1133525000,24,9,facc0040
1133535000,24,10,02e1fea2
1133545000,24,11,ffeb0052
1133555000,24,12,007c02ff
1133565000,24,13,ff6cfc9d
1133575000,24,14,ffac0177
1133585000,24,15,0093fff9
1135465000,24,16,ffeaff9b
1135475000,24,17,feeeff97
1135485000,24,18,0330011a
1135495000,24,19,fcfd0012
1135505000,24,20,0097ff92
1135515000,24,21,fedb0283
1135525000,24,22,ff94fa5b
1135535000,24,23,00aa0175
1135545000,24,24,02660361
1135555000,24,25,fce8fd91
1135565000,24,26,01b4ff34
1135575000,24,27,fe81ff34
1135585000,24,28,00b904be
1135595000,24,29,ff7bfd71
1135605000,24,30,fff0febb
1135615000,24,31,00140169
1137495000,25,0,ffe70000
1137505000,25,1,ffb1ffcf
1137515000,25,2,01240069
1137525000,25,3,ff2cff29
1137535000,25,4,fff1015e
1137545000,25,5,fff2006f
1137555000,25,6,fee8fd04
1137565000,25,7,04ae007e
1137575000,25,8,fc2d0298
1137585000,25,9,fd23fe8d
1137595000,25,10,0448ffe3
1137605000,25,11,ff42fecd
1137615000,25,12,ffa703aa
1137625000,25,13,fff2fc35
1137635000,25,14,ffa00278
1137645000,25,15,008cff24
1139525000,25,16,ff8bffda
1139535000,25,17,fee9001e
1139545000,25,18,01d7ff4b
1139555000,25,19,ff8600bc
1139565000,25,20,fea4ffb6
1139575000,25,21,ff720205
1139585000,25,22,0248fb85
1139595000,25,23,01f7021c
1139605000,25,24,fc970190
1139615000,25,25,ff030084
1139625000,25,26,015bff13
1139635000,25,27,fedefee6
1139645000,25,28,020a01e4
1139655000,25,29,ff7afe71
1139665000,25,30,ff260079
1139675000,25,31,011d004a
1141555000,26,0,0030ffb4
1141565000,26,1,ffcffff1
1141575000,26,2,0127ffbd
1141585000,26,3,fd600172
1141595000,26,4,0379fdfa
1141605000,26,5,fe59032a
1141615000,26,6,ffddfbaa
1141625000,26,7,0059003f
1141635000,26,8,02560302
1141645000,26,9,f995ff2f
1141655000,26,10,04d1fdc7
1141665000,26,11,ff7e0150
1141675000,26,12,fe950068
1141685000,26,13,00bb013e
1141695000,26,14,ffeffdea
1141705000,26,15,fff90147
1143585000,26,16,ff8a007f
1143595000,26,17,ffadff5d
1143605000,26,18,01090196
1143615000,26,19,fe6dfdbc
1143625000,26,20,00e90243
1143635000,26,21,feb3ff2a
1143645000,26,22,00d5fdb4
1143655000,26,23,feb2019b
1143665000,26,24,023afffd
1143675000,26,25,fc970025
1143685000,26,26,00fdfc7e
1143695000,26,27,04510222
1143705000,26,28,fc7f017d
1143715000,26,29,0011ff40
1143725000,26,30,ff79004c
1143735000,26,31,00d8ff1b
1145615000,27,0,ffd0fffe
1145625000,27,1,00f7fff0
1145635000,27,2,ffabff59
1145645000,27,3,fd5a0287
1145655000,27,4,03c5fd48
1145665000,27,5,fdb8ffe8
1145675000,27,6,024700eb
1145685000,27,7,fca50123
1145695000,27,8,0118fdc4
1145705000,27,9,ffd9027a
1145715000,27,10,0297fdeb
1145725000,27,11,fd54025d
1145735000,27,12,0103fd46
1145745000,27,13,0014020a
1145755000,27,14,ffafff09
1145765000,27,15,00290015
1147645000,27,16,ff8bff4b
1147655000,27,17,ffdc00bf
1147665000,27,18,016dff46
1147675000,27,19,fedc00dc
1147685000,27,20,ff850045
1147695000,27,21,ff9efdfd
